Question,Answer,Category
"What is college timing?","College timing at Anurag University is from 9AM to 4PM.","General"
"When does college start?","Classes at Anurag University usually start at 9AM.","General"
"What are working hours of college?","The working hours are 9AM to 4PM on weekdays.","General"
"What is library timing?","The central library is open from 8AM to 6PM.","Facilities"
"Is library open on Saturday?","Yes, the library is open till 1PM on Saturdays.","Facilities"
"What is canteen timing?","The canteen is open from 8AM to 5PM.","Facilities"
"Is hostel facility available?","Yes, separate hostels are available for boys and girls.","Facilities"
"What are hostel timings?","Hostel gates close at 9PM.","Facilities"
"Is WiFi available on campus?","Yes, free WiFi is available across the campus.","Facilities"
"What courses are offered?","Anurag University offers B.Tech, M.Tech, MBA, Pharmacy and other programs.","Academics"
"How to apply for admission?","Students can apply through the official Anurag University website.","Admissions"
"What is admission process?","Admission is based on entrance exams like EAMCET and merit.","Admissions"
"Is there a placement cell?","Yes, Anurag University has an active placement and training cell.","Placements"
"What companies visit for placements?","Top companies like TCS, Infosys and Wipro visit for placements.","Placements"
"Are internships provided?","Yes, internship opportunities are provided for eligible students.","Placements"
"Is there a medical facility?","Yes, basic medical facilities and first aid are available on campus.","Health"
"What sports facilities are available?","The university provides cricket, basketball, volleyball and indoor sports facilities.","Facilities"
"Are scholarships available?","Yes, merit-based and government scholarships are available.","Finance"
"What is fee payment process?","Fees can be paid online through the university portal.","Finance"
"Where is Anurag University located?","Anurag University is located in Ghatkesar, Hyderabad.","General"
"How to contact administration?","You can contact administration through the official university website or campus office.","Contact"
"Is parking available?","Yes, parking facility is available for students and staff.","Facilities"
"What is bus route?","University buses cover major areas of Hyderabad.","Transport"
"How to get bus pass?","Bus passes can be obtained from the transport office on campus.","Transport"
"Is there a computer lab?","Yes, fully equipped computer labs are available for students.","Facilities"
"Are extracurricular activities conducted?","Yes, cultural fests and technical events are conducted regularly.","Activities"
"Is attendance mandatory?","Yes, minimum 75 percent attendance is required as per university rules.","Academics"
"Where can I check exam results?","Results are published on the official university portal.","Academics"
